original	google_translation
endorsable	befürwortbar
endorse	befürworten
endorsed	gebilligt
endorsee	befürworten
endoscopic	endoskopisch
endoscopy	Endoskopie
endoskeleton	Endoskelett
endow	schenken
endowment	Ausstattung
endurable	erträglich
endurableness	Erträglichkeit
endure	aushalten
enduringly	dauerhaft
enduringness	Ausdauer
endways	endwärts
enemy	Feind
energetic	energisch
energetically	energisch
energize	energetisieren
energizer	Energiespender
energy	Energie
enforce	erzwingen
enforceability	Durchsetzbarkeit
enforceable	durchsetzbar
enforced	durchgesetzt
enforcement	Durchsetzung
enforcer	Vollstrecker
enframe	einrahmen
enfranchisement	Entrechtung
engage	engagieren
engaged	beschäftigt
engagement	Engagement
engager	engagieren
engaging	fesselnd
engagingly	einnehmend
engagingness	Engagement
engine	Motor
engineer	Ingenieur
engineering	Maschinenbau
engineless	motorlos
engorge	anschwellen
engorgement	Schwellung
engrain	einarbeiten
engrained	verwurzelt
engrave	gravieren
engraved	graviert
engraver	Graveur
engraving	Gravur
engross	vertiefen
engrossed	vertieft
engrossingly	fesselnd
engrossment	Vertiefung
engulf	verschlingen
engulfment	Verschlingung
enhance	erweitern
enhanced	erweitert
enhancement	Erweiterung
enhancer	Verstärker
enigma	Rätsel
enigmatic	rätselhaft
enigmatically	rätselhaft
enjoy	genießen
enjoyable	angenehm
enjoyableness	Vergnügen
enjoyably	angenehm
enjoyer	Genießer
enjoyment	Vergnügen
enlarge	vergrößern
enlargeable	vergrößerbar
enlarged	vergrößert
enlargement	Erweiterung
enlarger	Vergrößerungsgerät
enlarging	vergrößern
enlighten	erleuchten
enlightened	erleuchtet
enlightener	Aufklärer
enlightening	aufschlussreich
enlightenment	Aufklärung
enlist	gewinnen
enlisted	eingetragen
enlistment	Einberufung
enmesh	verstricken
enormity	Ungeheuerlichkeit
enormous	enorm
enormously	enorm
enormousness	Ungeheuerlichkeit
enough	genug
enquire	Anfragen
enquirer	Nachfrager
enrage	erzürnen
enraged	wütend
enrapture	entzücken
enraptured	entzückt
enrich	bereichern
enriching	bereichernd
enrichment	Anreicherung
enrobe	beschichtet
enroll	einschreiben
enrolled	eingeschrieben
enrollee	eingeschrieben
enrollment	Einschreibung
ensemble	Ensemble
enshrine	verankern
enshroud	einhüllen
enslavement	Versklavung
enslaver	Sklavenhalter
ensnare	verführen
ensnarement	Verstrickung
ensnaring	verführen
ensnarl	verwirren
ensue	erfolgen
ensuing	anschließend
ensure	Salzfaden
entail	mit sich bringen
entangle	verwickeln
entangled	verstrickt
entanglement	Verstrickung
entangling	verwickeln
enter	eingeben
entering	eintreten
enterprise	Unternehmen
enterpriser	Unternehmer
enterprising	unternehmungslustig
enterprisingly	unternehmungslustig
entertain	unterhalten
entertainer	Entertainer
entertaining	unterhaltsam
entertainingly	unterhaltsam
entertainment	Unterhaltung
enthralling	fesselnd
enthrallment	Begeisterung
enthralment	Begeisterung
enthusiasm	Begeisterung
enthusiast	Enthusiast
enthusiastic	enthusiastisch
enthusiastically	begeistert
entice	locken
enticement	Verführung
enticer	Verführer
enticing	verlockend
enticingly	verlockend
entire	gesamte
entirely	vollständig
entireness	Ganzheit
entirety	Gesamtheit
entitle	berechtigen
entitlement	Anspruch
entity	juristische Person
entomb	beisetzen
entombment	Grablegung
entomologist	Entomologe
entomology	Entomologie
entourage	Gefolge
entrails	Eingeweide
entrance	Eingang
entranced	verzaubert
entranceway	Eingang
entrancing	bezaubernd
entrancingly	bezaubernd
entrapment	Gefangenschaft
entree	Hauptgericht
entrenched	verschanzt
entrenchment	Schanze
entrepreneur	Unternehmer
entrepreneurial	unternehmerisch
entrepreneurship	Unternehmerschaft
entrust	anvertrauen
entrustment	Betrauung
entry	Eintrag
entryway	Eingang
entwinement	Verflechtung
enumerate	aufzählen
enumeration	Aufzählung
enumerative	aufzählend
enunciate	aussprechen
enunciation	Aussprache
enunciator	Ansager
envelop	umhüllen
envelope	Umschlag
envelopment	Umhüllung
enviable	beneidenswert
enviably	beneidenswert
envied	beneidet
envious	neidisch
enviously	neidisch
environment	Umfeld
environmental	Umwelt
environmentalism	Umweltschutz
environmentalist	Umweltschützer
environmentally	Umweltfreundlich
envision	vorstellen
envoy	Gesandte
envy	Neid
envying	neidisch
enzyme	Enzym
ephedrine	Ephedrin
epic	Epos
epicenter	Epizentrum
epidemic	Epidemie
epidemical	epidemisch
epidemically	epidemisch
epidemiologist	Epidemiologe
epidemiology	Epidemiologie
epidermal	epidermal
epidermis	Epidermis
epilepsy	Epilepsie
epileptic	epileptisch
epilogue	Epilog
epinephrine	Adrenalin
epiphany	Offenbarung
episcopal	bischöflich
episcopalian	bischöflich
episode	Folge
episodic	episodisch
episodically	episodisch
epitaph	Epitaph
epitome	Inbegriff
epitomize	verkörpern
equal	gleich
equaling	gleich
equalitarianism	Gleichheit
equality	Gleichwertigkeit
equalization	Ausgleich
equalize	ausgleichen
equalizer	Ausgleich
equalizing	ausgleichend
equally	gleichermaßen
equation	Gleichung
equator	Äquator
equatorial	Äquatorial
equestrian	Reiter
equidistantly	äquidistant
equilateral	gleichseitig
equilaterally	gleichseitig
equilibrium	Gleichgewicht
equip	ausrüsten
equipment	Ausrüstung
equipper	Ausrüster
equitable	gerecht
equitably	gerecht
equity	Eigenkapital
equivalence	Gleichwertigkeit
equivalency	Gleichwertigkeit
equivalent	Äquivalent
equivalently	gleichwertig
equivocal	zweideutig
equivocally	zweideutig
equivocate	zweideutig
equivocator	Äquivokator
era	Epoche
eradicate	ausrotten
eradication	Ausrottung
eradicator	Ausrotter
erasable	löschbar
erased	gelöscht
eraser	Radiergummi
erasure	Elasure
erect	aufrecht
erectable	aufrichtbar
erecting	aufstellen
erection	Erektion
erectly	aufrecht
erectness	Geradheit
ergonomic	ergonomisch
ergonomics	Ergonomie
erode	erodieren
eroded	erodiert
erogenous	erogen
erosion	Erosion
erosive	erosiv
erotic	erotisch
erotically	erotisch
eroticism	Erotik
eroticize	erotisieren
errand	Auftrag
errantly	irrtümlicherweise
erratic	unberechenbar
erring	irrend
erroneous	fehlerhaft
erroneously	fälschlicherweise
erroneousness	Irrtum
error	Fehler
errorless	fehlerfrei
erupt	ausbrechen
escalate	eskalieren
escalating	eskaliert
escalation	Eskalation
escalator	Rolltreppe
escapable	entkommen
escapade	Eskapade
escape	Flucht
escapee	Ausbrecher
escaper	Flüchtling
escapism	Eskapismus
escapist	Eskapist
escargot	Schnecke
escort	begleiten
escrow	Treuhand
eskimo	Eskimo
esophageal	Speiseröhre
esophagus	Speiseröhre
esoteric	esoterisch
esoterically	esoterisch
esotericism	Esoterik
especially	besonders
espionage	Spionage
espresso	Espresso
esquire	Esquire
essay	Aufsatz
essayist	Essayist
essence	Wesen
essential	essentiell
essentialism	Essentialismus
essentialist	Essentialist
essentiality	Wesentlichkeit
essentially	im Wesentlichen
essentialness	Wesentlichkeit
establish	gründen
established	gegründet
establisher	Gründer
establishment	Einrichtung
estate	Anwesen
esteem	Wertschätzung
esteemed	geschätzt
estimate	schätzen
estimation	Einschätzung
estimator	Schätzer
estranged	entfremdet
estrangement	Entfremdung
estuary	Mündung
etcetera	und so weiter
etching	Radierung
eternal	ewig
eternalize	verewigen
eternally	ewig
eternity	Ewigkeit
ethanol	Ethanol
ether	Äther
ethic	Ethik
ethical	ethisch
ethicality	Ethik
ethically	ethisch
ethicalness	Ethik
ethicist	Ethiker
ethics	Ethik
ethnic	ethnisch
ethnical	ethnisch
ethnically	ethnisch
ethnicity	ethnische Zugehörigkeit
ethnocentrism	Ethnozentrismus
ethnologist	Ethnologe
ethnology	Ethnologie
ethological	ethologisch
ethos	Ethos
ethyl	Ethyl
etiquette	Etikette
etymologist	Etymologe
eucalyptus	Eukalyptus
eugenic	eugenisch
eulogize	loben
eulogy	Lobrede
euphemism	Euphemismus
euphonic	wohlklingend
euphonically	wohlklingend
euphoria	Euphorie
euphoric	euphorisch
eureka	Heureka
euthanize	einschläfern
evacuate	evakuieren
evacuation	Evakuierung
evacuator	Evakuator
evacuee	Evakuierte
evade	ausweichen
evader	Ausweichender
evaluate	auswerten
evaluation	Auswertung
evaluative	bewertend
evaluator	Gutachter
evangelicalism	Evangelikalismus
evangelically	evangelisch
evangelism	Evangelisation
evangelist	Evangelist
evangelistic	evangelistisch
evangelistically	evangelistisch
evangelization	Evangelisierung
evangelize	evangelisieren
evangelizer	Evangelisierer
evaporate	verdampfen
evaporation	Verdunstung
evaporator	Verdampfer
evasion	Ausweichen
evasive	ausweichend
evasively	ausweichend
eve	Vorabend
even	sogar
evenhanded	unparteiisch
evenhandedly	unparteiisch
evenhandedness	Gleichmäßigkeit
evening	Abend
evenly	gleichmäßig
evenness	Ebenheit
event	Ereignis
eventful	ereignisreich
eventfully	ereignisreich
eventfulness	Ereignishaftigkeit
eventless	ereignislos
eventual	schließlich
eventuality	Fall
eventually	letztlich
everblooming	immerblühend
evergreen	immergrün
everlasting	ewig
everlastingly	ewig
evermore	immer
every	jeden
everybody	alle
everyday	täglich
everydayness	Alltäglichkeit
everyone	alle
everyplace	jeder Platz
everything	alles
everyway	jeder Weg
evict	vertreiben
eviction	Vertreibung
evictor	Räumer
evidence	Beweis
evidential	beweiskräftig
evidentially	offensichtlich
evil	teuflisch
evildoer	Übeltäter
evildoing	Übeltun
evilness	Bösartigkeit
evocative	anregend
evoke	hervorrufen
evolution	Evolution
evolutional	evolutionär
evolutionary	evolutionär
evolutionism	Evolutionismus
evolutionist	Evolutionist
evolve	evolve
ex	ex
exacerbate	verschärfen
exacerbation	Verschlimmerung
exact	genau
exactable	exakt
exacting	anspruchsvoll
exactitude	Genauigkeit
exactly	genau
exactness	Genauigkeit
exaggerate	übertreiben
exaggerated	übertrieben
exaggeratedly	übertrieben
exaggerating	übertreiben
exaggeratingly	übertrieben
exaggeration	Übertreibung
exaggerator	Übertreibung
exaggeratory	übertrieben
exalt	erhöhen
exalted	erhaben
exaltedly	erhaben
exaltedness	Erhabenheit
exam	Prüfung
examinable	prüfbar
examination	Untersuchung
examine	prüfen
examinee	Prüfling
examiner	Prüfer
examining	untersuchen
example	Beispiel
exasperate	verärgern
exasperated	verärgert
exasperatedly	verärgert
exasperatingly	ärgerlich
exasperation	Verzweiflung
excavate	ausgraben
excavation	Ausgrabung
exceed	überschreiten
exceeding	übersteigend
exceedingly	überaus
excellence	Exzellenz
excellent	exzellent
excellently	hervorragend
excentricity	Exzentrizität
except	außer
excepting	ausgenommen von
exception	Ausnahme
exceptionable	ausnahmsweise
exceptional	außergewöhnlich
exceptionality	Außergewöhnlichkeit
exceptionally	außergewöhnlich
excerpt	Auszug
excess	Überschuss
excessive	übertrieben
excessively	übermäßig
excessiveness	Übermaß
exchange	Austausch
exchangeability	Austauschbarkeit
exchangeable	austauschbar
exchanger	Austauscher
excise	Verbrauchsteuer
excitability	Erregbarkeit
excitable	erregbar
excitableness	Erregbarkeit
excitation	Erregung
excited	aufgeregt
excitedly	aufgeregt
excitement	Aufregung
exciting	spannend
excitingly	spannend
exclaim	ausrufen
exclaimer	Ausrufer
exclaiming	ausrufend
exclamation	Ausruf
exclamatory	Ausrufe-
excludable	ausschließbar
exclude	ausschließen
excluder	Ausschluss
excluding	ausschließlich
exclusion	Ausschluss
exclusionist	ausschließend
exclusive	exklusiv
exclusively	ausschließlich
exclusiveness	Ausschließlichkeit
exclusivity	Exklusivität
excommunicable	exkommunizierbar
excommunicate	exkommunizieren
excommunication	Exkommunikation
excrement	Kot
excrete	ausscheiden
excretes	scheidet aus
excretion	Ausscheidung
excretive	Ausscheidung
excretory	Ausscheidung
excruciate	quälen
excruciatingly	quälend
excursion	Ausflug
excusable	entschuldbar
excusably	entschuldbar
excusatory	entschuldigend
excuse	Entschuldigung
excuser	Entschuldigung
excusing	entschuldigend
executable	ausführbar
executed	hingerichtet
execution	Ausführung
executioner	Henker
executive	Exekutive
executively	exekutiv
executor	Testamentsvollstrecker
exemplarily	vorbildlich
exemplary	exemplarisch
exemplifier	veranschaulichen
exemplify	veranschaulichen
exempt	befreit
exemption	Befreiung
exercisable	ausübbar
exercise	Übung
exerciser	Trainierender
exert	ausüben
exertion	Anstrengung
exes	Exen
exfoliate	Peeling
exfoliating	Peeling
exfoliation	Peeling
exhalable	ausatembar
exhalation	Ausatmung
exhale	ausatmen
exhaust	Auspuff
exhausted	erschöpft
exhaustedly	erschöpft
exhaustibility	Erschöpfbarkeit
exhaustible	erschöpfbar
exhausting	anstrengend
exhaustingly	erschöpfend
exhaustion	Erschöpfung
exhaustive	erschöpfend
exhaustively	erschöpfend
exhaustiveness	Vollständigkeit
exhaustless	erschöpfend
exhaustlessness	Erschöpfung
exhibit	Ausstellungsstück
exhibiter	Aussteller
exhibitioner	Aussteller
exhibitionism	Exhibitionismus
exhibitionist	Exhibitionist
exhibitionistic	exhibitionistisch
exhibitive	ausstellend
exhibitory	Ausstellung
exhilarate	berauschend
exhilarated	beschwingt
exhilarating	berauschend
exhilaratingly	berauschend
exhilaration	Hochgefühl
exhilarative	berauschend
exhilarator	Erheiterer
exhortation	Ermahnung
exhumation	Exhumierung
exhume	Exhumierungen
exile	Exil
exist	existieren
existence	Existenz
existent	existent
existential	existenziell
existentialism	Existentialismus
existentialist	Existentialist
existentialistic	existentialistisch
existentially	existenziell
exobiology	Exobiologie
exodus	Exodus
exonerate	entlasten
exoneration	Entlastung
exonerator	Entlaster
exorbitantly	exorbitant
exorcise	exorzieren
exorciser	exorzieren
exorcism	Exorzismus
exorcist	Exorzist
exorcize	bannen
exoskeleton	Exoskelett
exothermal	exotherm
exotic	exotisch
exotically	exotisch
exoticism	Exotik
exoticness	Exotik
expand	expandieren
expandable	erweiterbar
expanded	erweitert
expander	Expander
expanding	expandieren
expanse	Weite
expansibility	Erweiterbarkeit
expansible	erweiterbar
expansion	Erweiterung
expansionary	expansiv
expansionism	Expansionspolitik
expansionist	Expansionist
expansive	expansiv
expansively	expansiv
expatriate	Auswanderer
expect	erwarten
expectance	Erwartung
expectancy	Erwartung
expectant	erwartungsvoll
expectantly	erwartungsvoll
expectation	Erwartung
expectedly	erwartungsgemäß
expedience	Zweckmäßigkeit
expediency	Zweckmäßigkeit
expedient	zweckmäßig
expediential	zweckmäßig
expediently	zweckmäßigerweise
expedite	beschleunigen
expedited	beschleunigt
expediter	zügig
expedition	Expedition
expeditious	zügig
expeditiously	zügig
expeditiousness	Schnelligkeit
expel	vertreiben
expellable	ausweisungsfähig
expend	aufwenden
expendability	Entbehrlichkeit
expendable	entbehrlich
expenditure	Ausgaben
expense	Aufwand
expenses	Kosten
expensive	teuer
expensively	teuer
expensiveness	Kostspieligkeit
experience	Erfahrung
experienced	erfahren
experiential	erfahrungsgemäß
experiment	Experiment
experimental	Experimental-
experimentalist	Experimentator
experimentally	experimentell
experimentation	Experimentieren
experimented	experimentiert
experimenter	Experimentator
expert	Experte
expertise	Sachverstand
expertly	fachmännisch
expiration	Ablauf
expire	erlöschen
expiree	abgelaufen
expiring	ablaufend
explain	erklären
explainable	erklärbar
explainer	Erklärer
explaining	erklären
explanation	Erläuterung
explanative	erklärend
explanatively	erklärend
explanatory	erläuternd
expletive	Kraftausdruck
explicable	erklärbar
explicative	ERLÄUTERND
explicatory	erklärend
explicitly	ausdrücklich
explicitness	Eindeutigkeit
explode	explodieren
exploded	explodierte
exploder	Exploder
exploit	ausbeuten
exploitable	ausnutzbar
exploitation	Ausbeutung
exploitative	ausbeuterisch
exploiter	ausbeuten
exploitive	ausbeuterisch
exploration	Erkundung
explorative	explorativ
exploratory	explorativ
explore	erkunden
explorer	Forscher
exploring	erkunden
explosion	Explosion
explosive	explosiv
explosively	explosiv
explosiveness	Explosivität
expo	Messe
exponential	exponentiell
exponentially	exponentiell
export	Export
exportability	Exportfähigkeit
exportable	exportierbar
exportation	Ausfuhr
exporter	Exporteur
exposable	exponierbar
expose	exponieren
exposed	ausgesetzt
exposedness	Exponiertheit
exposition	Exposition
expository	Expositorium
exposure	Belichtung
express	äußern
expressed	ausgedrückt
expresser	Ausdrücker
expressible	ausdrückbar
expression	Ausdruck
expressionism	Expressionismus
expressionist	Expressionist
expressionless	ausdruckslos
expressionlessly	ausdruckslos
expressive	ausdrucksvoll
expressively	ausdrücklich
expressiveness	Ausdruckskraft
expressivity	Ausdruckskraft
expressly	ausdrücklich
expressway	Schnellstraße
expulsion	Vertreibung
expulsive	austreibend
exquisite	exquisit
exquisitely	exquisit
exquisiteness	Köstlichkeit
extend	verlängern
extendable	Erweiterbar
extended	erweitert
extendedly	ausgedehnt
extendedness	Ausdehnung
extender	Verlängerung
extendibility	Erweiterbarkeit
extendible	ausziehbar
extending	verlängern
extension	Verlängerung
extensive	umfangreich
extensively	ausführlich
extensiveness	Umfang
extent	Ausmaß
extenuate	beschönigen
extenuating	mildernd
extenuation	Beschönigung
exterior	Außen
exterminate	vernichten
extermination	Vernichtung
exterminator	Kammerjäger
external	extern
externalism	Externalismus
externalist	Externalist
externality	Äußerlichkeit
externalization	Externalisierung
externalize	externalisieren
externally	äußerlich
externals	Äußerlichkeiten
extinct	ausgestorben
extinction	Aussterben
extinguish	löschen
extinguished	ausgelöscht
extinguisher	Feuerlöscher
extort	erpressen
extortion	Erpressung
extortionist	Erpresser
extortive	erpressend
extra	extra
extracellular	extrazellulär
extract	Extrakt
extractable	extrahierbar
extracted	extrahiert
extractible	extrahierbar
extraction	Extraktion
extractive	extraktiv
extracurricular	außerhalb des Lehrplans
extraditable	auslieferungsfähig
extradite	ausliefern
extradition	Auslieferung
extrajudicial	außergerichtlich
extramarital	außerehelich
extraneous	fremd
extraneously	von außen
extraneousness	Fremdheit
extraordinaire	außergewöhnlich
extraordinarily	außerordentlich
extraordinariness	Außergewöhnlichkeit
extraordinary	außergewöhnlich
extras	Extras
extrasensory	außersinnlich
extraterrestrial	außerirdisch
extraterritorially	extraterritorial
extravagance	Extravaganz
extravagancy	Extravaganz
extravagant	extravagant
extravaganza	Extravaganz
extravert	extrovertiert
extreme	extrem
extremely	äußerst
extremeness	Extremität
extremism	Extremismus
extremist	Extremist
extremity	Extremität
extricated	befreit
extrinsic	extrinsisch
extrinsically	extrinsisch
extrovert	extrovertiert
extroverted	extrovertiert
extrude	extrudieren
extruding	extrudieren
extrusion	Extrusion
exuberance	Überschwang
exuberant	überschwänglich
exuberantly	ausgelassen
exuberate	überschwänglich
exude	verströmen
eye	Auge
eyeball	Augapfel
eyebath	für das Bad
eyebrow	Augenbraue
eyedrop	Augentropfen
eyedropper	Pipette
eyeful	Augenfällig
eyeglass	Brille
eyeglasses	Brille
eyehole	LED
eyeless	augenlos
eyelet	Öse
eyelid	Augenlid
eyelike	augenartig
eyeliner	Eyeliner
eyepatch	Augenklappe
eyepiece	Okular
eyes	Augen
eyeshade	Augenschirm
eyeshadow	Lidschatten
eyesight	Sehvermögen
eyesore	Schandfleck
eyestrain	Überanstrengung der Augen
eyewash	Augenspülung
eyewear	Brillen
eyewink	Augenzwinkern
eyewitness	Augenzeuge
fab	fabelhaft
fable	Fabel
fabled	sagenumwoben
fabric	Stoff
fabricate	fabrizieren
fabricator	Hersteller
fabulous	fabelhaft
fabulously	fabelhaft
fabulousness	Fabelhaftigkeit
facade	Fassade
face	Gesicht
facebook	Facebook
facecloth	Waschlappen
faced	konfrontiert
facedown	verdeckt
faceless	gesichtslos
facelift	Facelift
faceplate	Frontplatte
facet	Facette
faceted	facettiert
facetious	scherzhaft
facetiously	scherzhaft
facetiousness	Scherzhaftigkeit
facial	Gesichts-
facially	im Gesicht
facilitate	erleichtern
facilitation	Erleichterung
facilitative	erleichternd
facilitator	Moderator
facilities	Einrichtungen
facility	Einrichtung
facing	gegenüber
facsimile	Faksimile
fact	Tatsache
faction	Fraktion
factional	fraktionell
factionalism	Fraktionismus
factitiously	faktisch
factoid	Faktoid
factor	Faktor
factorability	Faktorisierbarkeit
factorable	faktorierbar
factorization	Faktorisierung
factory	Fabrik
factsheet	Datenblatt
factual	sachlich
factuality	Faktizität
factually	sachlich
factualness	Sachlichkeit
faculty	Fakultät
fad	Mode
fade	verblassen
faded	verblasst
fader	Fader
fading	Fading
fag	Thema
faggot	Schwuchtel
fagot	Fagott
fail	scheitern
failing	Versagen
failingly	fehlgeschlagen
failsafe	ausfallsicher
failure	Versagen
faint	schwach
fainter	schwächer
faintheartedly	schwachsinnig
faintheartedness	Kleinmut
fainting	Ohnmacht
faintish	schwach
faintly	schwach
faints	wird ohnmächtig
fair	gerecht
fairer	gerechter
fairground	Messegelände
fairly	ziemlich
fairness	Gerechtigkeit
fairway	Fahrrinne
fairy	Fee
fairylike	feenhaft
fairytale	Märchen
faith	Glaube
faithful	treu
faithfully	treu
faithfulness	Treue
faithless	treulos
faithlessly	treulos
faithlessness	Treulosigkeit
fake	gefälscht
faker	Schwindler
falcon	Falke
falconer	Falkner
falconry	Falknerei
fall	fallen
fallacious	trügerisch
fallacy	Irrtum
fallback	zurückgreifen
fallen	gefallen
fallibility	Fehlbarkeit
fallible	fehlbar
falling	fallen
fallopian	Eileiter
fallout	ausfallen
false	FALSCH
falsehearted	falschherzig
falsehood	Lüge
falsely	fälschlicherweise
falseness	Falschheit
falsetto	Falsett
falsifiable	falsifizierbar
falsification	Fälschung
falsify	verfälschen
falter	ins Wanken geraten
falterer	stockt
faltering	stockend
famed	berühmt
familiar	vertraut
familiarity	Vertrautheit
familiarization	Kennenlernen
familiarize	vertraut machen
familiarly	vertraulich
family	Familie
famine	Hungersnot
famish	hungern
famished	ausgehungert
famous	berühmt
famously	berühmt
famousness	Berühmtheit
fan	Lüfter
fanatic	Fanatiker
fanatical	fanatisch
fanatically	fanatisch
fanaticism	Fanatismus
fanaticize	fanatisieren
fancied	eingebildet
fancier	Liebhaber
fancifully	fantasievoll
fancifulness	Fantasie
fanciness	Raffiniertheit
fancy	schick
fancywork	Fantasiearbeit
fandom	Fangemeinde
fanfare	Fanfare
fang	Fang
fanged	erwischt
fangless	ohne Reißzähne
fanlight	Oberlicht
fanlike	Wo auch immer sofort
fanning	fächern
fanny	Fanny
fantail	Fantail
fantasia	Fantasie
fantasist	fantasist
fantasize	phantasieren
fantastic	fantastisch
fantastical	fantastisch
fantasticality	Phantastik
fantastically	fantastisch
fantasy	Fantasie
farewell	Lebewohl
farfetched	weit hergeholt
farfetchedness	weit hergeholt
farm	Bauernhof
farmable	landwirtschaftlich nutzbar
farmer	Bauer
farmhand	Knecht
farmhouse	Bauernhaus
farming	Landwirtschaft
farmland	Ackerland
farmost	Apotheker
farmworker	Bauer
farmyard	Hof
farsighted	weitsichtig
farsightedly	weitsichtig
farsightedness	Weitsichtigkeit
fart	Furz
farther	weiter
farthermost	am weitesten
farthest	am weitesten
fascinate	faszinieren
fascinated	fasziniert
fascinating	faszinierend
fascinatingly	faszinierend
fascination	Faszination
fascism	Faschismus
fascist	faschistisch
fashion	Mode
fashionably	modisch
fashioned	gestaltet
fashioner	Modeer
fashionista	Fashionista
fashionmonger	Modehändler
fast	schnell
fasten	fasten
fastener	Verschluss
fastening	Befestigung
faster	Schneller
fastidiously	anspruchsvoll
fasting	Fasten
fastness	Echtheit
fat	fett
fatal	tödlich
fatale	fatale
fatalism	Fatalismus
fatalistic	fatalistisch
fatalistically	fatalistisch
fatality	Todesfall
fatally	tödlich
fatalness	Todesfall
fate	Schicksal
fated	schicksalhaft
fatefulness	Schicksalhaftigkeit
fathead	Dickkopf
fatheaded	dickköpfig
father	Vater
fathered	gezeugt
fatherhood	Vaterschaft
fatherland	Vaterland
fatherless	vaterlos
fatherlessness	Vaterlosigkeit
fatherliness	Väterlichkeit
fatherly	väterlich
fathom	ergründen
fathomable	ergründbar
fathomless	unergründlich
fatigue	Ermüdung
fatigueless	ermüdungsfrei
fatiguing	ermüdend
fatness	Fettigkeit
fattener	Dickmacher
fatter	dicker
fattiness	Fettigkeit
fatty	fettig
faucet	Wasserhahn
fault	Fehler
faultfinding	die Fehlersuche
faultily	fehlerhaft
faultiness	Mangelhaftigkeit
faulting	fehlerhaft
faultless	einwandfrei
faultlessly	einwandfrei
faulty	Defekt
fauna	Fauna
faux	falsch
favor	favorisieren
favorable	günstig
favorableness	Günstigkeit
favorably	günstig
favored	begünstigt
favoring	Begünstigung
favorite	Favorit
favoritism	Bevorzugung
fawning	kriecherisch
fawningly	kriecherisch
fax	Fax
fear	Furcht
feared	gefürchtet
fearfully	ängstlich
fearfulness	Angst
fearless	furchtlos
fearlessly	furchtlos
fearlessness	Furchtlosigkeit
fearsome	furchterregend
fearsomely	furchterregend
fearsomeness	furchteinflößend
feasibility	Durchführbarkeit
feasible	machbar
feasibleness	Machbarkeit
feasibly	machbar
feast	Fest
feat	feat
feather	Feder
featherbed	Federbett
featherbrain	Federhirn
feathered	gefiedert
featheriness	Federhaftigkeit
feathering	Federn
featherless	federlos
featherlike	federartig
featherweight	Federgewicht
feathery	federleicht
feature	Besonderheit
featured	vorgestellt
featureless	ohne Merkmale
february	Februar
fecal	Fäkalien
feces	Kot
fed	gefüttert
federacy	Föderation
federal	föderal
federalist	Föderalist
federalization	Föderalisierung
federalize	föderalisieren
federally	föderativ
federate	Föderation
federation	Föderation
fedora	Fedora
fee	Gebühr
feeble	schwach
feebleminded	schwachsinnig
feebleness	Schwäche
feebly	schwach
feed	füttern
feedback	Rückmeldung
feedbag	Futtersack
feedbox	Futterbox
feeder	Futterspender
feeding	Füttern
feel	fühlen
feeler	scheitern
feeling	Gefühl
feelingly	gefühlvoll
feign	vortäuschen
feigned	vorgetäuscht
feigning	vortäuschen
feisty	temperamentvoll
felicity	Glückseligkeit
feline	katzenartig
felinely	katzenartig
fell	fällen
fellow	Gefährte
fellowman	Mitmensch
fellowship	Gemeinschaft
felon	Schwerverbrecher
felonious	verbrecherisch
feloniously	verbrecherisch
felony	Verbrechen
felt	gefühlt
felted	verfilzt
female	weiblich
femaleness	Weiblichkeit
feminine	feminin
femininely	feminin
feminineness	Weiblichkeit
femininity	Weiblichkeit
feminism	Feminismus
feminist	Feminist
feministic	feministisch
feminization	Feminisierung
feminize	feminisieren
fence	Zaun
fenceless	zaunlos
fencepost	Zaunpfosten
fencer	Fechter
fencing	Fechten
fend	abwehren
fender	Fender
feral	wild
ferment	Ferment
fermentable	vergärbar
fermentation	Fermentation
fern	fern
ferocious	wild
ferociously	heftig
ferociousness	Wildheit
ferocity	Wildheit
ferret	Frettchen
ferry	Fähre
ferryboat	Fähre
ferryman	Fährmann
fertile	fruchtbar
fertileness	Fruchtbarkeit
fertility	Fruchtbarkeit
fertilizable	befruchtbar
fertilization	Düngung
fertilize	düngen
fertilizer	Dünger
fervent	inbrünstig
ferventness	Inbrunst
fervor	Inbrunst
fest	fest
fester	fester
festival	Festival
festive	festlich
festively	festlich
festiveness	Festlichkeit
festivity	Fest
fetal	fötal
fetch	bringen
fetched	geholt
fetching	holen
fetish	Fetisch
fettuccine	Fettuccine
fetus	Fötus
feud	Fehde
feudal	feudal
feudalism	Feudalismus
feudalist	Feudalist
feudality	Feudalität
feudalization	Feudalisierung
fever	Fieber
fevered	fiebert
feverish	fiebrig
feverishly	fieberhaft
feverishness	Fieber
feverously	fieberhaft
few	wenige
fiance	Verlobter
fiancee	Verlobte
fiasco	Fiasko
fiat	Fiat
fib	Flunkerei
fibber	Flunkerer
fiber	Faser
fiberboard	Faserplatte
fiberglass	Glasfaser
fibrousness	Faserigkeit
fibula	Fibel
fickle	wankelmütig
fickleness	Wankelmut
fiction	Fiktion
fictional	fiktiv
fictionalize	fiktionalisieren
fictitious	fiktiv
fictitiously	fiktiv
fictitiousness	Fiktion
fiddle	Geige
fiddler	Geiger
fiddlestick	Geigenstock
fiddlesticks	Geigenstöcke
fiddling	Geigenspiel
fidelity	Treue
fidget	zappeln
fidgetiness	Unruhe
fidgeting	zappeln
fidgety	zappelig
