english	german
caveat	vorbehalt
caveman	höhlenmensch
cavern	höhle
cavernous	höhlenartig
caviar	kaviar
caving	höhlenforschung
cavity	hohlraum
cease	aufhören
ceasefire	waffenstillstand
ceaselessly	unaufhörlich
cedar	zeder
ceiling	decke
celeb	promi
celebrate	feiern
celebrated	gefeiert
celebration	feier
celebrative	feierlich
celebrator	feiernder
celebrity	berühmtheit
celery	sellerie
celestially	himmlisch
celiac	zöliakie
celibacy	zölibat
celibate	zölibatär
cellar	keller
cellblock	zellenblock
celled	zellig
cellist	cellist
cellmate	zellenkamerad
cello	cello
cellophane	cellophan
cellphone	handy
cellular	zellular
cellulite	cellulite
celluloid	zelluloid
cellulose	zellulose
celtic	keltisch
cement	zement
cemetery	friedhof
censor	zensieren
censorable	zensierbar
censorship	zensur
censure	tadel
cent	cent
centaur	zentaur
centenarian	hundertjährige
center	center
centered	zentriert
centerfield	mittelfeld
centerfold	mittelfalte
centering	zentrierung
centermost	in der mitte
centerpiece	kernstück
centerpieces	mittelstücke
centerstage	im mittelpunkt
centigrade	celsius
centimeter	zentimeter
centipede	tausendfüßler
central	zentral
centralism	zentralismus
centralist	dispatcher
centrality	zentralität
centralization	zentralisierung
centralize	zentralisieren
centralized	zentralisiert
centrally	zentral
centric	zentrisch
centrifugal	zentrifugal
centrifuge	zentrifuge
century	jahrhundert
ceramic	keramik
ceramics	keramik
cereal	getreide
cereals	getreide
cerebellum	kleinhirn
cerebral	zerebral
cerebrally	zerebral
ceremonial	zeremoniell
ceremonialism	zeremoniellismus
ceremonialist	zeremonienmeister
ceremonially	feierlich
ceremonious	feierlich
ceremoniously	feierlich
ceremoniousness	zeremoniell
ceremony	zeremonie
certainly	sicherlich
certainty	sicherheit
certifiable	zertifizierbar
certifiably	nachweislich
certificate	zertifikat
certification	zertifizierung
certified	zertifiziert
certifier	bestätigen
certify	bestätigen
cervical	zervikal
cervix	gebärmutterhals
cesspool	senkgrube
chafe	scheuern
chaffing	scheuern
chagrined	verärgert
chain	kette
chained	angekettet
chainless	kettenlos
chainmail	kettenhemd
chainsaw	kettensäge
chair	stuhl
chairlady	vorsitzende
chairlift	sessellift
chairman	vorsitzende
chairmanship	vorsitz
chairperson	vorsitzender
chairwoman	vorsitzende
chalet	chalet
chalice	kelch
chalk	kreide
chalkboard	tafel
chalkiness	kalkigkeit
chalklike	kupferklick
chalkstone	kreidestein
chalky	kreidig
challenge	herausforderung
challengeable	anfechtbar
challenger	herausforderer
challengingly	herausfordernd
chamber	kammer
chambered	gekammert
chambermaid	zimmermädchen
chameleon	chamäleon
chamomile	kamille
champ	champion
champagne	sekt
champion	champion
championess	championin
championship	meisterschaft
chance	chance
chancellor	kanzler
chandelier	leuchter
change	ändern
changeability	veränderlichkeit
changeable	veränderbar
changeableness	veränderlichkeit
changeably	wechselhaft
changeful	wechselhaft
changeless	unveränderlich
changelessness	unveränderlichkeit
changer	wechsler
channel	kanal
channeled	kanalisiert
channeling	channeling
channelization	kanalisierung
chant	gesang
chanter	singen
chanting	singen
chaos	chaos
chaotic	chaotisch
chaotically	chaotisch
chap	kerl
chapel	kapelle
chaperon	aufsichtsperson
chaperone	aufsichtsperson
chapped	rissig
chapping	rissig
chaps	jungs
chapter	kapitel
character	charakter
characteristic	charakteristisch
characteristically	charakteristisch
characteristics	eigenschaften
characterization	charakterisierung
characterize	charakterisieren
characterizer	charakterisierung
characterless	charakterlos
charade	farce
charbroil	holzkohle
charcoal	holzkohle
chardonnay	chardonnay
charge	aufladung
chargeability	aufladbarkeit
chargeable	gebührenpflichtig
charger	ladegerät
charging	aufladen
chariot	streitwagen
charisma	charisma
charismatic	charismatisch
charitable	wohltätig
charitableness	wohltätigkeit
charitably	wohltätig
charity	wohltätigkeit
charlotte	charlotte
charm	charme
charmer	charmeur
charming	charmant
charmingly	charmant
charmless	reizlos
charred	verkohlt
chart	diagramm
chartered	gechartert
charting	diagramme
chartreuse	chartreuse
chartroom	kartenraum
chase	verfolgungsjagd
chaser	verfolger
chasing	jagend
chaste	keusch
chasten	privat
chastened	gezüchtigt
chastise	züchtigen
chastisement	züchtigung
chastiser	züchtiger
chastity	keuschheit
chat	plaudern
chateau	chateau
chatter	geschwätz
chatterbox	schwätzer
chatterer	schwätzer
chattiness	geschwätzigkeit
chatting	chatten
chatty	gesprächig
chauffeur	chauffeur
chauvinist	chauvinist
chauvinistic	chauvinistisch
cheap	billig
cheaply	billig
cheapness	billigkeit
cheapo	billig
cheapskate	geizhals
cheat	schummeln
cheater	betrüger
cheating	schummeln
cheatingly	betrügerisch
check	überprüfen
checkable	überprüfbar
checkbook	scheckbuch
checkbox	kontrollkästchen
checked	überprüft
checker	checker
checkerboard	schachbrett
checkered	kariert
checkers	dame
checklist	checkliste
checkmark	häkchen
checkmate	schachmatt
checkout	kasse
checkpoint	kontrollpunkt
checkroom	garderobe
checkup	untersuchung
cheddar	cheddar
cheek	wange
cheekbone	wangenknochen
cheekily	frech
cheekiness	frechheit
cheeky	frech
cheer	jubeln
cheered	jubelte
cheerer	jubeler
cheerful	heiter
cheerfully	fröhlich
cheerfulness	fröhlichkeit
cheerily	fröhlich
cheeriness	fröhlichkeit
cheering	jubel
cheeringly	jubelnd
cheerio	cheerio
cheerleader	cheerleader
cheerless	freudlos
cheerlessly	freudlos
cheerlessness	freudlosigkeit
cheery	heiter
cheeseboard	käsebrett
cheeseburger	cheeseburger
cheesecake	käsekuchen
cheesecloth	käsetuch
cheesiness	käsegeschmack
cheesy	käsig
cheetah	gepard
chef	koch
chemical	chemisch
chemically	chemisch
chemicals	chemikalien
chemist	chemiker
chemistry	chemie
chemo	chemo
chemotherapeutic	chemotherapeutisch
chemotherapist	chemotherapeut
chemotherapy	chemotherapie
cherish	schätzen
cherisher	schätzer
cherishingly	liebevoll
cherishment	wertschätzung
cherry	kirsche
cherub	cherub
chess	schach
chessboard	schachbrett
chestnut	kastanie
chesty	ehre
chevron	chevron
chevy	chevy
chew	kauen
chewable	kaubar
chewer	kauer
chewy	zäh
chic	schick
chick	küken
chickadee	meise
chicken	huhn
chickenfeed	hühnerfutter
chickenhearted	hühnerherz
chickenpox	windpocken
chickpea	kichererbse
chicory	chicoree
chiding	tadeln
chidingly	tadelnd
chief	chef
chiefly	hauptsächlich
chieftain	häuptling
chieftainship	häuptling
chiffon	chiffon
chihuahua	chihuahua
child	kind
childbearing	gebären
childbed	wochenbett
childbirth	geburt
childcare	kinderbetreuung
childhood	kindheit
childish	kindisch
childishly	kindisch
childishness	kindlichkeit
childless	kinderlos
childlessness	kinderlosigkeit
childlike	kindlich
childlikeness	kindlichkeit
childproof	kindersicher
childrearing	kindererziehung
children	kinder
chili	chili
chill	kühlen
chilled	gekühlt
chiller	kühler
chilling	chillen
chillingly	erschreckend
chilly	kühl
chime	glockenspiel
chimney	schornstein
chimp	schimpanse
chimpanzee	schimpanse
chin	kinn
china	china
chinaware	porzellan
chinchilla	chinchilla
chinless	kinnlos
chinstrap	kinnriemen
chintzy	kitschig
chip	chip
chipmaker	chiphersteller
chipmunk	streifenhörnchen
chipped	gechipt
chipper	häcksler
chipping	abplatzen
chips	chips
chirographer	chirograph
chiropractic	chiropraktik
chiropractor	chiropraktiker
chirp	zwitschern
chirpiness	zwitschern
chirping	zwitschern
chirpy	munter
chisel	meißel
chiseled	gemeißelt
chitchat	geplauder
chitlins	chitlins
chivalrous	ritterlich
chivalrously	ritterlich
chivalrousness	ritterlichkeit
chivalry	ritterlichkeit
chive	schnittlauch
chlamydia	chlamydien
chloride	chlorid
chlorination	chlorierung
chlorine	chlor
chloroform	chloroform
chloroplast	chloroplasten
chocoholic	schokoholisch
chocolate	schokolade
chocolaty	schokoladig
choice	auswahl
choir	chor
choirboy	chorknabe
choke	drossel
chokehold	würgegriff
choker	halsband
choking	würgend
chokingly	würgend
cholera	cholera
cholesterol	cholesterin
chomp	kauen
choose	wählen
choosing	wählen
choosy	wählerisch
chop	hacken
chophouse	chophouse
chopped	gehackt
chopper	häcksler
choppers	häcksler
chopping	hacken
choppy	abgehackt
chopstick	stäbchen
chopsticks	essstäbchen
choral	chor_
chord	akkord
chore	lästige pflicht
choreograph	choreograph
choreographer	choreograph
choreographic	choreografisch
choreography	choreographie
chorographical	chorografisch
chorus	chor
chose	wählte
chosen	frühe schlacht
chow	chow
chowder	suppe
christen	christen
christened	getauft
christening	taufe
christianity	christentum
christmas	weihnachten
christmastree	weihnachtsbaum
chromatic	chromatisch
chromatically	chromatisch
chrome	chrom
chromium	chrom
chromosome	chromosom
chronic	chronisch
chronically	chronisch
chronicle	chronik
chronicler	chronist
chronogram	chronogramm
chronograph	chronograph
chronographer	chronograph
chronographic	chronografisch
chronographically	chronografisch
chronologic	chronologisch
chronological	chronologisch
chronologically	chronologisch
chronologist	chronologe
chronology	chronologie
chronometer	chronometer
chrysanthemum	chrysantheme
chubbiness	molligheit
chubby	pummelig
chuck	futter
chuckle	kichern
chuckler	kicher
chug	tuckern
chum	kumpel
chummy	gut befreundet
chump	trottel
chunk	brocken
chunkily	klobig
chunkiness	klumpigkeit
chunky	klobig
church	kirche
churchgoer	kirchgänger
churchgoing	in die kirche gehen
churchless	kirchenlos
churchlike	kirchlich
churchman	kirchenmann
churchwoman	kirchenfrau
churchyard	kirchhof
churn	abwanderung
churning	aufgewühlt
chute	rutsche
cider	apfelwein
cigar	zigarre
cigarette	zigarette
cilantro	koriander
cinch	cinch
cinema	kino
cinematic	filmisch
cinematically	filmisch
cinematize	filmen
cinematographer	kameramann
cinematographically	filmisch
cinematography	kinematographie
cinnamon	zimt
cipher	chiffre
circle	kreis
circled	eingekreist
circling	kreisen
circuit	schaltkreis
circuitry	schaltung
circular	kreisförmig
circularity	zirkularität
circularly	kreisförmig
circulate	zirkulieren
circulation	verkehr
circulative	zirkulierend
circulatory	kreislauf
circumcise	beschneiden
circumcised	beschnitten
circumciser	beschnitten
circumcision	beschneidung
circumference	umfang
circumferential	umlaufend
circumfluent	umfließen
circumnavigator	weltumsegler
circumscribe	umschreiben
circumscribed	umschrieben
circumscription	umschreibung
circumspect	umsichtig
circumspection	umsicht
circumspectness	umsicht
circumstance	umstand
circumstanced	umstände
circumstances	umstände
circumstantial	umständlich
circumstantially	umständlich
circumvent	umgeben
circumventor	der einkreiser
circus	zirkus
citable	zitierfähig
citadel	zitadelle
citation	zitat
cite	zitieren
citizen	bürger
citizenry	bürgerschaft
citronella	citronella
citrus	zitrusfrüchte
city	stadt
cityscape	stadtbild
citywide	stadtweit
civic	bürgerlich
civically	bürgerlich
civics	staatsbürgerkunde
civil	bürgerlich
civilian	zivilist
civility	höflichkeit
civilizable	zivilisierbar
civilization	zivilisation
civilized	zivilisiert
civilizer	zivilisator
civilizing	zivilisierend
civilly	zivil
clad	gekleidet
claimable	einklagbar
claimant	antragsteller
claimer	anspruchsteller
claimless	anspruchslos
clairvoyance	hellsehen
clairvoyant	hellseher
clairvoyantly	hellsichtig
clam	muschel
clambake	clambake
clammily	klamm
clamminess	feuchtigkeit
clammy	klamm
clamor	geschrei
clamorously	lautstark
clamp	klemme
clamshell	muschelschale
clan	clan
clandestinely	heimlich
clandestineness	heimlichkeit
clang	klirren
clank	rasseln
clanking	klirrend
clansman	clansman
clanswoman	clansfrau
clap	klatschen
clapped	klatschte
clapper	klöppel
clapping	klatschen
clarification	klärung
clarifier	klärer
clarify	klären
clarinet	klarinette
clarinetist	klarinettist
clarity	klarheit
clash	zusammenstoß
clasher	zusammenstoß
clasp	schließe
class	klasse
classed	klassifiziert
classes	klassen
classic	klassisch
classical	klassisch
classicalism	klassizismus
classicalist	klassizismus
classically	klassisch
classics	klassiker
classifiable	klassifizierbar
classification	einstufung
classified	klassifiziert
classifier	klassifikator
classify	klassifizieren
classism	klassismus
classless	klassenlos
classman	klassenkamerad
classmate	mitschüler
classroom	klassenzimmer
classwork	klassenarbeit
classy	nobel
clatter	klappern
clatteringly	klappernd
clause	klausel
claustrophobic	klaustrophobisch
clavicle	schlüsselbein
claw	klaue
clawed	gekratzt
clawless	klauenlos
claylike	tonartig
cleanable	reinigbar
cleaner	reiniger
cleaning	reinigung
cleanliness	sauberkeit
cleanly	sauber
cleanness	sauberkeit
cleanout	ausputzen
cleansable	reinigbar
cleanse	reinigen
cleanser	reinigungsmittel
cleansing	reinigung
cleanup	aufräumen
clearable	abklärbar
clearance	spielraum
clearcut	eindeutig
clearer	klarer
clearheaded	klaren kopf
clearheadedly	mit klarem kopf
clearing	clearing
clearly	deutlich
clearness	klarheit
cleat	klampe
cleavability	spaltbarkeit
cleavage	dekollete
cleave	spalten
cleaver	hackmesser
cleavers	hackmesser
clef	notenschlüssel
cleft	gespalten
clementine	clementine
clench	ballen
clergy	klerus
clergyman	geistliche
clergywoman	geistliche
cleric	kleriker
clerical	geistlicher
clerically	klerikal
clerking	sachbearbeiter
clerkship	referendariat
clever	clever
cleverly	geschickt
cleverness	klugheit
cliche	klischee
click	klicken
clicker	klicker
client	klient
clientele	klientel
clientless	kundenlos
cliff	cliff
cliffhanger	cliffhanger
climactic	klimatisch
climactically	klimatisch
climate	klima
climatic	klimatisch
climatically	klimatisch
climatologic	klimatologisch
climatology	klimatologie
climax	höhepunkt
climb	steigen
climbable	besteigbar
climber	bergsteiger
climbing	klettern
clinch	clinch
clincher	drahtreifen
cling	haften
clinger	klammern
clinging	klammernd
clingingly	anhänglich
clingy	anhänglich
clinic	klinik
clinical	klinisch
clinically	klinisch
clinician	kliniker
clink	klirren
clinking	klirrend
clip	clip
clipart	clip art
clipboard	zwischenablage
clipped	abgeschnitten
clipper	clipper
clipping	ausschnitt
clips	clips
clique	klicken
clitoral	klitoris
clitoris	klitoris
cloak	mantel
cloaked	getarnt
cloaking	tarnung
cloakroom	garderobe
clobber	klamotten
clock	uhr
clocked	getaktet
clocklike	uhrartig
clockmaker	uhrmacher
clockwise	im uhrzeigersinn
clockwork	uhrwerk
clog	verstopfen
cloistered	im kloster
clone	klon
cloning	klonen
closable	verschließbar
close	schließen
closed	geschlossen
closefisted	geizig
closely	eng
closemouthed	verschlossen
closeness	nähe
closer	näher
closet	kleiderschrank
closetful	schrankvoll
closure	schließung
clot	gerinnen
clothe	kleiden
clothes	kleidung
clothesbasket	wäschekorb
clothesline	wäscheleine
clothespin	wäscheklammer
clothespress	wäschepresse
clothier	tuchmacher
clothing	kleidung
cloud	wolke
cloudburst	wolkenbruch
clouded	bewölkt
cloudily	bewölkt
cloudiness	trübung
clouding	trübung
cloudless	wolkenlos
cloudlessly	wolkenlos
cloudlessness	wolkenlosigkeit
cloudy	wolkig
clove	nelke
clover	kleeblatt
cloverleaf	kleeblatt
clown	clown
clownery	clownerie
clownish	albern
clownishly	clownhaft
clownishness	clownerie
club	verein
clubbed	geprügelt
clubbing	clubbing
clubfeet	klumpfüße
clubfoot	klumpfuß
clubfooted	mit klumpfüßen
clubhouse	clubhaus
clubroom	vereinsraum
clubwoman	clubfrau
cluck	glucken
clue	hinweis
clueless	ahnungslos
clumpy	klumpig
clumsily	ungeschickt
clumsy	unbeholfen
clunk	klirren
clunker	clunker
clunky	klobig
cluster	cluster
clustered	geclustert
clustering	clusterbildung
clutch	kupplung
clutter	unordnung
coach	trainer
coachable	coachbar
coaching	coaching
coachman	kutscher
coachwork	karosserie
coagulant	gerinnungsmittel
coagulate	koagulieren
coagulation	koagulation
coagulator	koagulator
coal	kohle
coalfield	kohlerevier
coalitional	koalitionär
coalmine	kohlenmine
coarse	grob
coarsely	grob
coarseness	grobheit
coast	küste
coastal	küsten
coastally	küstennah
coaster	untersetzer
coastguard	küstenwache
coasting	im leerlauf
coastland	küstenland
coastline	küste
coastward	auflandig
coat	mantel
coated	beschichtet
coathanger	kleiderbügel
coating	beschichtung
coatless	ohne mantel
coattail	rockschöße
coax	koax
coaxer	überreder
coaxial	koaxial
coaxing	überredend
coaxingly	überredend
cob	kolben
cobalt	kobalt
cobble	kopfsteinpflaster
cobbler	schuster
cobblestone	kopfsteinpflaster
cobbling	kopfsteinpflaster
cobra	kobra
cobweb	spinnennetz
cobwebby	spinnennetz
cocaine	kokain
cochairman	co_vorsitzender
cock	schwanz
cockatiel	nymphensittich
cocked	gespannt
cockeye	cockeye
cockeyed	schief
cockfight	hahnenkampf
cockfighting	hahnenkampf
cockily	übermütig
cockiness	frechheit
cocking	spannen
cockish	übermütig
cockroach	kakerlake
cocksucker	schwanzlutscher
cocktail	cocktail
cocky	großspurig
cocoa	kakao
coconspirator	mitverschwörer
coconut	kokosnuss
cocoon	kokon
cod	kabeljau
coddle	verhätscheln
code	code
codebook	codebuch
codefendant	mitangeklagter
codeine	kodein
codeless	codelos
codename	code name
codependency	co_abhängigkeit
codependent	mitabhängig
coder	programmierer
codeword	codewort
codfish	kabeljau
coding	codierung
codpiece	codpiece
coed	studentin
coeditor	mitherausgeber
coeducation	koedukation
coeducational	koedukativ
coeducationally	koedukativ
coefficient	koeffizient
coequality	gleichberechtigung
coerce	zwingen
coercer	zwang
coercible	erzwingbar
coercive	zwang
coercively	zwangsweise
coerciveness	zwang
coexist	koexistieren
coexistence	koexistenz
coexistent	koexistieren
coffee	kaffee
coffeecake	kaffee kuchen
coffeehouse	kaffeehaus
coffeemaker	kaffeemaschine
coffeepot	kaffeetasse
coffer	truhe
coffin	sarg
cofounder	mitbegründer
cog	gepflanzt
cognac	cognac
cognition	erkenntnis
cognitive	kognitiv
cognitively	kognitiv
cognizable	erkennbar
cogwheel	zahnrad
cohabit	zusammenleben
cohabitant	zusammenleben
cohabitate	zusammenleben
cohabitation	zusammenleben
cohere	zusammenhängen
coherence	kohärenz
coherency	kohärenz
coherent	kohärent
coherently	zusammenhängend
cohesive	zusammenhängend
cohort	kohorte
coil	spule
coiled	aufgerollt
coiler	haspel
coiling	aufwickeln
coin	münze
coinable	prägbar
coinage	prägung
coincidence	zufall
coincident	zusammenfallend
coincidental	zufällig
coincidentally	zufällig
coincidently	zufällig
coiner	münzer
coining	prägung
coitus	verkehr
coke	koks
cola	cola
colander	sieb
cold	kalt
coldblooded	kaltblütig
colder	kälter
coldhearted	kaltherzig
coldheartedly	kaltherzig
coldish	kalt
coldly	kalt
coldness	kälte
coleslaw	krautsalat
colic	kolik
coliseum	kolosseum
collaborate	zusammenarbeiten
collaboration	zusammenarbeit
collaborationist	kollaborateur
collaborative	kollaborativ
collaboratively	gemeinsam
collaborator	mitarbeiter
collage	collage
collagen	kollagen
collapse	zusammenbruch
collapsibility	zusammenklappbarkeit
collapsible	zusammenklappbar
collar	kragen
collarbone	schlüsselbein
collard	kohl
collared	kragen
collarless	kragenlos
collate	zusammenstellen
collator	collator
colleague	kollege
collect	sammeln
collectability	sammelbarkeit
collectable	sammelbar
collected	gesammelt
collectedly	gesammelt
collectedness	gesammeltheit
collectible	sammlerstück
collection	sammlung
collective	kollektiv
collectively	gemeinsam
collectiveness	kollektivität
collectivism	kollektivismus
collectivist	kollektivist
collectivity	kollektivität
collector	kollektor
collectorship	sammlerstück
college	hochschule
collegiate	hochschule
collide	kollidieren
collie	collie
collision	kollision
colloquial	umgangssprachlich
colloquialism	umgangssprachlicher ausdruck
cologne	köln
colon	doppelpunkt
colonel	oberst
colonial	kolonial
colonialism	kolonialismus
colonialist	kolonialist
colonic	dickdarm
colonist	kolonist
colonization	kolonisation
colonize	besiedeln
colonoscopy	darmspiegelung
colony	kolonie
color	farbe
colorable	färbbar
coloration	färbung
colorblind	farbenblind
colored	farbig
colorfast	farbecht
colorful	bunt
colorfully	farbenfroh
colorfulness	buntheit
coloring	färbung
colorization	kolorierung
colorize	einfärben
colorless	farblos
colorlessly	farblos
colorlessness	farblosigkeit
colors	farben
colossal	kolossal
colostomy	kolostomie
colt	fohlen
columbine	akelei
column	spalte
columnist	kolumnist
coma	mit dem
comatose	komatös
comatosely	komatös
comb	kamm
combat	kampf
combatable	bekämpfbar
combative	kämpferisch
combatively	kämpferisch
combativeness	kampfbereitschaft
combed	gekämmt
combinable	kombinierbar
combination	kombination
combine	kombinieren
combined	kombiniert
combiner	kombinierer
combing	kämmen
combining	kombinieren
combo	combo
combust	verbrennen
combustibility	brennbarkeit
combustible	brennbar
combustion	verbrennung
combustive	brennbar
combustor	brennkammer
come	kommen
comeback	komm zurück
comedian	komiker
comedic	komödiantisch
comedienne	komikerin
comedy	komödie
comeliness	anmut
comes	kommt
comet	komet
comeuppance	gegenleistung
comfort	komfort
comfortable	komfortabel
comfortableness	bequemlichkeit
comfortably	bequem
comforter	tröster
comforting	wohltuend
comfortingly	beruhigend
comfortless	trostlos
comfortlessly	trostlos
comfy	bequem
comic	comic
comical	komisch
comically	komisch
comics	comics
coming	kommen
comingle	kommende
comma	komma
command	befehl
commandant	kommandant
commandeer	requirieren
commander	kommandant
commandingly	gebieterisch
commandment	gebot
commando	kommando
commemorate	gedenken
commemoration	gedenkfeier
commemorative	gedenk_
commemoratively	gedenken
commemorator	gedenker
commence	beginnen
commencement	beginn
commencer	anfangen
commend	empfehlen
commendable	lobenswert
commendation	lob
commensurable	kommensurabel
commensurate	angemessen
comment	kommentar
commentary	kommentar
commentate	kommentar
commentator	kommentator
commerce	handel
commercial	kommerziell
commercialism	kommerzialismus
commercialistic	kommerziell
commerciality	kommerzialität
commercialization	vermarktung
commercialize	kommerzialisieren
commercially	kommerziell
commiserate	bemitleiden
commissary	kommissar
commission	kommission
commissioner	kommissar
commit	begehen
commitment	engagement
committable	begehbar
committal	einlieferung
committee	ausschuss
committeeman	ausschussmitglied
committeewoman	ausschussfrau
commode	kommode
commodity	ware
commodore	kommodore
common	gemeinsam
commonality	gemeinsamkeit
commonalty	gemeinsamkeit
commoner	bürgerlicher
commonly	häufig
commonness	häufigkeit
commonplace	alltäglich
commonsense	gesunder menschenverstand
commonwealth	commonwealth
commotion	aufregung
communal	gemeinschaftlich
communalism	kommunalismus
communalization	kommunalisierung
communally	gemeinsam
commune	gemeinsam
communicability	kommunikationsfähigkeit
communicable	übertragbar
communicably	kommunizierbar
communicant	kommunikant
communicate	kommunizieren
communication	kommunikation
communicational	kommunikativ
communicative	gesprächig
communicatively	kommunikativ
communicativeness	kommunikationsfähigkeit
communicator	kommunikator
communicatory	kommunikativ
communion	gemeinschaft
communism	kommunismus
communist	kommunistisch
communistic	kommunistisch
community	gemeinschaft
communization	kommunisierung
commutable	umschaltbar
commute	pendeln
commuter	pendler
commuting	pendeln
compact	kompakt
compacted	verdichtet
compacter	kompakter
compactly	kompakt
compactness	kompaktheit
compactor	kompaktor
companion	begleiter
companionability	kameradschaft
companionable	gesellig
companionably	gesellig
companionless	ohne begleitung
companionship	gesellschaft
company	unternehmen
comparability	vergleichbarkeit
comparable	vergleichbar
comparableness	vergleichbarkeit
comparably	vergleichbar
comparative	vergleichend
comparatively	verhältnismäßig
comparativeness	vergleichbarkeit
compare	vergleichen
comparison	vergleich
compartment	abteil
compartmental	kompartiment
compartmentalization	kompartimentierung
compartmentalize	unterteilen
compartmentally	kompartimentell
compass	kompass
compasses	zirkel
compassion	mitgefühl
compassionate	mitfühlend
compassionately	mitfühlend
compassionateness	mitgefühl
compassionless	mitleidlos
compatibility	kompatibilität
compatible	kompatibel
compatibly	kompatibel
compatriot	landsmann
compel	zwingen
compelling	zwingend
compellingly	zwingend
compensate	kompensieren
compensating	kompensierend
compensation	entschädigung
compensational	entschädigend
compensative	kompensatorisch
compensator	kompensator
compensatory	kompensatorisch
compete	wetteifern
competence	kompetenz
competency	kompetenz
competently	kompetent
competition	wettbewerb
competitive	wettbewerbsfähig
competitively	konkurrenzfähig
competitiveness	wettbewerbsfähigkeit
competitor	wettbewerber
compilation	zusammenstellung
compile	kompilieren
compiler	compiler
complacence	selbstzufriedenheit
complacency	selbstzufriedenheit
complacent	selbstgefällig
complain	beschweren
complainer	beschwerdeführer
complainingly	beschweren sich
complaint	beschwerde
complement	ergänzen
complementary	komplementär
complete	vollständig
completely	vollständig
completeness	vollständigkeit
completion	fertigstellung
complex	komplex
complexion	teint
complexioned	teint
complexity	komplexität
complexness	komplexität
compliable	kompatibel
compliance	einhaltung
compliancy	einhaltung
compliant	konform
compliantly	konform
complicate	komplizieren
complicated	kompliziert
complicatedly	kompliziert
complicatedness	kompliziertheit
complication	komplikation
complicit	kompliziert
complicity	mittäterschaft
complier	compiler
compliment	kompliment
complimentarily	kostenlos
complimentary	kostenlos
comply	einhalten
component	komponente
compose	komponieren
composer	komponist
composite	zusammengesetzt
compositely	zusammengesetzt
composition	komposition
compositional	kompositorisch
compositionally	kompositorisch
compost	kompost
composure	gelassenheit
compound	verbindung
compoundable	zusammensetzbar
compounder	compounder
compounding	compoundierung
comprehend	begreifen
comprehendingly	verständlich
comprehensibility	verständlichkeit
comprehensible	verständlich
comprehensibleness	verständlichkeit
comprehensibly	nachvollziehbar
comprehension	verständnis
comprehensive	umfassend
comprehensively	umfassend
comprehensiveness	vollständigkeit
compress	kompresse
compressed	komprimiert
compressibility	kompressibilität
compressible	komprimierbar
compression	kompression
compressive	komprimierend
compressively	komprimierend
compressor	kompressor
comprise	umfassen
comprised	umfasst
compromise	kompromiss
compromiser	kompromissgeber
compromising	kompromittierend
compulsion	zwang
compulsive	zwanghaft
compulsively	zwanghaft
compulsivity	zwanghaftigkeit
compulsorily	zwangsweise
compulsory	obligatorisch
computability	berechenbarkeit
computable	berechenbar
computably	berechenbar
computation	berechnung
computational	rechnerisch
compute	berechnen
computer	computer
computerization	computerisierung
computerize	computerisieren
computerized	computerisiert
computing	rechnen
comrade	genosse
comradeship	kameradschaft
con	mit
concave	konkav
concavely	konkav
concaveness	konkavität
conceal	verbergen
concealable	versteckbar
concealed	verborgen
concealment	verheimlichung
concede	zugeben
conceded	zugegeben
conceit	einbildung
conceited	eingebildet
conceitedly	eingebildet
conceitedness	einbildung
conceivability	denkbarkeit
conceivable	denkbar
conceivableness	vorstellbarkeit
conceivably	denkbar
conceive	begreifen
conceiver	empfängner
concentrate	konzentrieren
concentrated	konzentriert
concentration	konzentration
concentrative	konzentrierend
concentric	konzentrisch
concentricity	konzentrizität
concept	konzept
conception	konzeption
conceptual	konzeptionell
conceptualism	konzeptualismus
conceptualist	konzeptualist
conceptualistic	konzeptualistisch
conceptuality	konzeptualität
conceptualize	konzipieren
conceptually	konzeptionell
concern	sorge
concerned	betroffen
concernedly	besorgt
concerning	betreffend
concert	konzert
concerted	konzertiert
concertedly	konzertiert
concertmaster	konzertmeister
concerto	konzert
concession	konzession
concessional	konzessionär
concessioner	konzessionär
conch	muschel
concierge	portier
conciliation	versöhnung
conciliatory	versöhnlich
concise	prägnant
concisely	prägnant
conciseness	prägnanz
conclave	konklave
conclude	daraus schließen
concluder	abschluss
concluding	abschließend
conclusion	abschluss
conclusive	schlüssig
conclusively	schlüssig
conclusiveness	schlüssigkeit
concoct	zusammenbrauen
concoction	gebräu
concord	eintracht
concordance	konkordanz
concourse	halle
concrete	beton
concretely	konkret
concubine	konkubine
concur	stimme zu
concurrency	parallelität
concurrent	gleichzeitig
concurrently	gleichzeitig
concurring	übereinstimmend
concussion	gehirnerschütterung
condemn	verurteilen
condemnable	verwerflich
condemnation	verurteilung
condemned	verurteilt
condemner	verurteiler
condemning	verurteilen
condemningly	verurteilend
condensability	kondensierbarkeit
condensable	kondensierbar
condensate	kondensat
condensates	kondensate
condensation	kondensation
condense	kondensieren
condensed	kondensiert
condenser	kondensator
condescend	geruhen
condescendence	herablassung
condescending	herablassend
condescendingly	herablassend
condescension	herablassung
condiment	würze
condition	zustand
conditional	bedingt
conditionality	konditionalität
conditioned	konditioniert
conditioner	conditioner
conditioning	konditionierung
condo	eigentumswohnung
condolence	beileid
condom	kondom
condominium	eigentumswohnung
condone	dulden
condor	kondor
conducive	förderlich
conduciveness	förderlichkeit
conduct	benehmen
